,Card Identifier,Number of Transactions,Non-Fraudulent Transactions,Fraudulent Transactions,proportion_of_fraudulent_transactions
4970,card 5472,1,0.0,1.0,1.0
7605,card 7844,1,0.0,1.0,1.0
1266,card 2138,1,0.0,1.0,1.0
6144,card 6529,1,0.0,1.0,1.0
5848,card 6262,1,0.0,1.0,1.0
4731,card 5257,1,0.0,1.0,1.0
5549,card 5994,1,0.0,1.0,1.0
5548,card 5993,1,0.0,1.0,1.0
7092,card 7382,1,0.0,1.0,1.0
4017,card 4614,1,0.0,1.0,1.0
7482,card 7733,1,0.0,1.0,1.0
5963,card 6366,1,0.0,1.0,1.0
6244,card 6619,1,0.0,1.0,1.0
4363,card 4926,1,0.0,1.0,1.0
6520,card 6868,1,0.0,1.0,1.0
7459,card 7712,1,0.0,1.0,1.0
7173,card 7455,1,0.0,1.0,1.0
7457,card 7710,1,0.0,1.0,1.0
3316,card 3984,1,0.0,1.0,1.0
5280,card 5751,1,0.0,1.0,1.0
7193,card 7473,1,0.0,1.0,1.0
7201,card 7480,1,0.0,1.0,1.0
6485,card 6836,1,0.0,1.0,1.0
3546,card 4190,1,0.0,1.0,1.0
6293,card 6663,1,0.0,1.0,1.0
7390,card 7650,1,0.0,1.0,1.0
7352,card 7616,1,0.0,1.0,1.0
7580,card 7821,1,0.0,1.0,1.0
6168,card 6550,1,0.0,1.0,1.0
7608,card 7847,1,0.0,1.0,1.0
1103,card 1992,2,0.0,2.0,1.0
6071,card 6463,1,0.0,1.0,1.0
6775,card 7097,2,0.0,2.0,1.0
7615,card 7853,1,0.0,1.0,1.0
2910,card 3618,1,0.0,1.0,1.0
3041,card 3736,1,0.0,1.0,1.0
6910,card 7218,2,0.0,2.0,1.0
6871,card 7183,1,0.0,1.0,1.0
6920,card 7227,1,0.0,1.0,1.0
6780,card 7100,1,0.0,1.0,1.0
5858,card 6271,2,0.0,2.0,1.0
3097,card 3787,2,0.0,2.0,1.0
118,card 1104,2,0.0,2.0,1.0
6017,card 6414,1,0.0,1.0,1.0
6683,card 7013,1,0.0,1.0,1.0
2252,card 3025,3,0.0,3.0,1.0
1801,card 262,1,0.0,1.0,1.0
3058,card 3751,6,1.0,5.0,0.8333333333333334
7725,card 867,9,2.0,7.0,0.7777777777777778
4622,card 5159,4,1.0,3.0,0.75
1826,card 2642,4,1.0,3.0,0.75
4373,card 4935,3,1.0,2.0,0.6666666666666666
2465,card 3217,3,1.0,2.0,0.6666666666666666
2493,card 3242,9,3.0,6.0,0.6666666666666666
4670,card 5201,3,1.0,2.0,0.6666666666666666
5413,card 5871,3,1.0,2.0,0.6666666666666666
5604,card 6042,3,1.0,2.0,0.6666666666666666
4384,card 4945,2,1.0,1.0,0.5
5695,card 6124,2,1.0,1.0,0.5
4351,card 4915,2,1.0,1.0,0.5
6102,card 6491,2,1.0,1.0,0.5
6066,card 6459,2,1.0,1.0,0.5
4158,card 4741,2,1.0,1.0,0.5
4303,card 4872,2,1.0,1.0,0.5
6015,card 6412,2,1.0,1.0,0.5
5804,card 6222,2,1.0,1.0,0.5
3855,card 4469,2,1.0,1.0,0.5
3497,card 4146,4,2.0,2.0,0.5
3485,card 4135,2,1.0,1.0,0.5
3586,card 4226,2,1.0,1.0,0.5
5998,card 6398,2,1.0,1.0,0.5
555,card 1499,2,1.0,1.0,0.5
6841,card 7156,2,1.0,1.0,0.5
6513,card 6861,2,1.0,1.0,0.5
3347,card 4010,2,1.0,1.0,0.5
5114,card 5601,2,1.0,1.0,0.5
6514,card 6862,2,1.0,1.0,0.5
6833,card 7149,2,1.0,1.0,0.5
