,Card Identifier,Transaction Date,Transaction Time,Risk Assessment,Payment Method,Transaction Value,Merchant Location,Card Present Status,Chip Usage,Cross-border Transaction (Yes/No),Acquiring Institution ID,Merchant Identifier,Merchant Category Code (MCC),Fraud Indicator (Yes/No)
38899,card 1013,2023-01-02,1900-01-01 21:58:42,807.0,Online,128.46,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
46812,card 1013,2023-01-02,1900-01-01 09:33:29,632.0,Online,33.29,USA,CNP,No,No,acquirer 65,merchant 127,5942.0,No
21817,card 1013,2023-01-03,1900-01-01 16:08:46,782.0,Online,137.18,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
65579,card 1013,2023-01-03,1900-01-01 18:20:12,672.0,Online,56.84,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
20788,card 1013,2023-01-04,1900-01-01 21:40:22,512.0,Online,43.5,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
40756,card 1013,2023-01-05,1900-01-01 00:13:27,742.0,Subscription,95.0,USA,CNP,No,No,acquirer 232,merchant 37,7997.0,No
6478,card 1013,2023-01-09,1900-01-01 01:12:17,1172.0,Online,36.68,USA,CNP,No,No,acquirer 65,merchant 127,5942.0,No
62931,card 1013,2023-01-11,1900-01-01 16:42:17,852.0,Online,300.0,USA,CNP,No,No,acquirer 41,merchant 260,7299.0,No
86316,card 1013,2023-01-13,1900-01-01 09:42:46,1317.0,Online,271.2,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
90181,card 1013,2023-01-14,1900-01-01 01:39:14,317.0,Online,11.55,USA,CNP,No,No,acquirer 22,merchant 6,8398.0,No
55660,card 1013,2023-01-19,1900-01-01 16:32:59,512.0,Online,108.04,USA,CNP,No,No,acquirer 65,merchant 127,5942.0,No
88507,card 1013,2023-01-22,1900-01-01 07:00:42,532.0,Subscription,42.0,USA,CNP,No,No,acquirer 16,merchant 255,5999.0,No
17571,card 1013,2023-01-25,1900-01-01 14:24:03,392.0,Online,19.99,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
64506,card 1013,2023-01-25,1900-01-01 12:43:28,582.0,Online,43.99,USA,CNP,No,No,acquirer 65,merchant 127,5942.0,No
